title,vote_average,vote_count,revenue,runtime,adult,original_language,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages
Por Dentro do Funk 150 BPM,0.0,0,0,21,False,pt,"While funk from São Paulo took to the mainstream pop, Rio de Janeiro, the birthplace of Brazilian funk, was undergoing major processes of social and political transformation. Military interventions on the eve of the World Cup in 2014 have profoundly altered the dance circuit on the city's hills, pushing the funk ecosystem to the internet and asphalt.",0.6,,Documentary,VICE Media,Brazil,Portuguese
Feet,0.0,0,0,0,False,en,About that feeling when your feet are sore.,0.6,You know that feeling when your feet are sore.,Animation,,Australia,English
Sibling Arrival,0.0,0,0,3,False,en,A coarse but intimate documentary of birth. The eight year old sibling is heard but not seen as she watches and reacts to her brother being born.,0.6,,,,,
Angel on the Amazon,4.0,3,0,86,False,en,An expedition exploring the Amazon jungle comes across a jungle goddess who lives among the animals and fears none of them--and apparently has found the secret of eternal youth.,1.841,The sullen killer of the jungles...and the woman who knew no fear! The story of their meeting and the strange events that followed!,"Adventure, Romance",Republic Pictures,United States of America,English
Videos with Mom: Breast,0.0,0,0,3,False,en,"Single-channel excerpt from installation series. ""An exchange between [the filmmaker's] mother and him in a series of banal, intimate actions: He is attempting to fit her prosthetic breast onto his chest. It doesn’t fit very well, so they try another one. She takes out a bathroom scale and tries to weigh them. “It’s less than a pound, so it doesn’t show,” she said flatly. After wiggling one into a silk bra, she goes to the sink and takes a pill. The film is shot mostly from her point of view at his chest, and we only see her face for barely a second at the very end. We see the back of her head the rest of the time, as she is crouching down in her nightgown weighing the gelatin inserts."" — Tiffany Sia",0.6,,,,,
The Acadian Connection,0.0,0,0,77,False,fr,"National Film Board of Canada documentary of stories of Acadians (French Canadians from the eastern Maritime provinces). Hundreds of thousands of Acadians emigrated to Louisiana following deportation by the British during the Acadian Expulsion of the mid-18th century, hence the term 'Cajun.'",0.6,,Documentary,ONF | NFB,Canada,"English, French"
Ykcowrebbaj,0.0,0,0,8,False,en,Follow the little green bird into this looking-glass world to see a mesmerizing version of the Lewis Carroll poem “Jabberwocky.”,0.6,,,,,
Have a Seat,0.0,0,0,10,False,en,"A young man finds himself in a purgatory waiting room in the afterlife. Here, he is tasked with making the decision of whether or not he wants to see his alcoholic mother again- and the decision between both of them must be mutual.",1.4,How do you feel about your mother?,Drama,Purgatory Productions,,
Pobl Bachyn,0.0,0,0,11,False,en,"A comedy-horror film about the triple threat of Welsh folklore, English tourists and being hungover.",1.4,,Comedy,"Root Around Pictures, Little Wander, BBC, BBC Wales",,
A Horse's Tale,0.0,0,0,0,False,en,An Aesop’s Film Fables short.,0.0,,Animation,,,
Howard Schultz Tapes,0.0,0,0,0,False,en,,0.0,,,,,
Ma fleur maladive,0.0,0,0,43,False,fr,,0.6,,Documentary,,,French
Hari Untuk Amanda,0.0,0,0,102,False,id,"It tells about a girl in hesitation before her marriage, for her ex-lover, who once shared 8 years of romance with her, returns to her life. In the end she must choose one of them.",0.981,,"Drama, Romance","MNC Pictures, Visinema Pictures",Indonesia,Indonesian
Osanazuma: zekkyō!!,2.0,1,0,70,False,ja,Roman Porno from 1976.,0.6,,,Nikkatsu Corporation,Japan,Japanese
Home on the Range,0.0,0,0,54,False,en,Australian independent political documentary about the US installations in Australia at Pine Gap near Alice Springs in the Northern Territory.,0.6,,Documentary,"Australian Film Commission, Association for International Co-operation and Disarmament (N.S.W.)",Australia,
O Jogo da Vida e da Morte,0.0,0,0,94,False,pt,"Brazilian adaptation of Hamlet, set in the outskirts of São Paulo City. A teenager hears through a medium the voice of his father, who accuses his brother of murdering him. He confirms his suspicions of his uncle, and decides to retaliate, but kills the wrong man, triggering a terrible game of life and death.",0.6,,Drama,,Brazil,Portuguese
